Realm_Name,Ecoregion_Name,Country_Name,Distance_to_Shore,Exposure,Cyclone_Frequency,Date_Day,Date_Month,Date_Year,Depth_m,Substrate_Name,Percent_Cover,Bleaching_Level,Percent_Bleaching,ClimSST,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_DHW,SSTA_DHW_Standard_Deviation,TSA,TSA_Standard_Deviation,Date,Site_Comments,Sample_Comments,Bleaching_Comments
Central Indo-Pacific,Southern Great Barrier Reef,Australia,930.8,Exposed,51.57,3,11,2017,4,Hard Coral,51.88,Population,2,299.35,0.82,0.72,0,9.31,2.65,-2.29,2.22,2017-11-03,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,930.8,Exposed,51.57,3,11,2017,4,Nutrient Indicator Algae,1.25,Population,2,299.35,0.82,0.72,0,9.31,2.65,-2.29,2.22,2017-11-03,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,224.53,Exposed,43.52,24,10,2015,5,Hard Coral,24.38,Population,2.25,301.69,-0.09,1.02,0,1.2,3.68,-2.79,2.92,2015-10-24,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,224.53,Exposed,43.52,24,10,2015,5,Nutrient Indicator Algae,0,Population,2.25,301.69,-0.09,1.02,0,1.2,3.68,-2.79,2.92,2015-10-24,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,Sometimes,43.39,9,6,2017,4,Hard Coral,35.62,Population,2.25,294.89,-0.78,0.98,0,3.84,3.32,-7.16,2.88,2017-06-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,123.51,Sometimes,43.39,9,6,2017,4,Nutrient Indicator Algae,11.88,Population,2.25,294.89,-0.78,0.98,0,3.84,3.32,-7.16,2.88,2017-06-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57761.46,Sheltered,48.94,8,7,2017,4,Hard Coral,55,Population,2.25,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-08,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,57761.46,Sheltered,48.94,8,7,2017,4,Nutrient Indicator Algae,1.88,Population,2.25,296.66,0.42,0.79,0,0,2.89,-4.71,2.06,2017-07-08,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,54.69,Sheltered,51.46,18,9,2016,1,Hard Coral,6.88,Population,2.75,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-18,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,54.69,Sheltered,51.46,18,9,2016,1,Nutrient Indicator Algae,3.75,Population,2.75,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-18,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,742.91,Sheltered,63.92,2,8,2015,4,Hard Coral,24.38,Population,3,297.64,0.3,0.88,0,2.3,2.98,-6.07,2.44,2015-08-02,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,742.91,Sheltered,63.92,2,8,2015,4,Nutrient Indicator Algae,0,Population,3,297.64,0.3,0.88,0,2.3,2.98,-6.07,2.44,2015-08-02,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,39847.16,Sheltered,71.88,13,9,2015,5,Hard Coral,26.25,Population,3.25,299.42,0.22,0.84,0,0,2.81,-4.27,2.02,2015-09-13,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,39847.16,Sheltered,71.88,13,9,2015,5,Nutrient Indicator Algae,0,Population,3.25,299.42,0.22,0.84,0,0,2.81,-4.27,2.02,2015-09-13,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,37626.29,Sheltered,52.46,30,8,2015,6,Hard Coral,66.25,Population,3.25,298.9,0.95,0.87,0,0,3.39,-4.02,2.11,2015-08-30,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,37626.29,Sheltered,52.46,30,8,2015,6,Nutrient Indicator Algae,1.25,Population,3.25,298.9,0.95,0.87,0,0,3.39,-4.02,2.11,2015-08-30,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,224.53,Exposed,43.52,9,6,2017,4,Hard Coral,11.88,Population,3.5,294.83,0.29,1.02,0,5.73,3.68,-6.22,2.92,2017-06-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,224.53,Exposed,43.52,9,6,2017,4,Nutrient Indicator Algae,39.38,Population,3.5,294.83,0.29,1.02,0,5.73,3.68,-6.22,2.92,2017-06-09,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,21755.41,Sheltered,36,28,10,2017,3,Hard Coral,6.88,Population,3.5,301.53,1.36,0.85,0,3.28,3.16,-1.37,2.09,2017-10-28,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,21755.41,Sheltered,36,28,10,2017,3,Nutrient Indicator Algae,2.5,Population,3.5,301.53,1.36,0.85,0,3.28,3.16,-1.37,2.09,2017-10-28,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1152.07,Exposed,51.57,30,10,2017,6,Hard Coral,55,Population,3.5,299.08,0.82,0.72,0,11.11,2.65,-2.66,2.22,2017-10-30,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1152.07,Exposed,51.57,30,10,2017,6,Nutrient Indicator Algae,0,Population,3.5,299.08,0.82,0.72,0,11.11,2.65,-2.66,2.22,2017-10-30,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,33605.64,Sheltered,71.88,29,10,2016,4,Hard Coral,19.38,Population,4,301.42,0.24,0.86,0,5.43,3.05,-2.33,2.07,2016-10-29,nd,nd,nd
Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,33605.64,Sheltered,71.88,29,10,2016,4,Nutrient Indicator Algae,8.75,Population,4,301.42,0.24,0.86,0,5.43,3.05,-2.33,2.07,2016-10-29,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1152.07,Exposed,51.57,19,9,2016,6,Hard Coral,62.5,Population,4,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-19,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1152.07,Exposed,51.57,19,9,2016,6,Nutrient Indicator Algae,0.62,Population,4,297.05,0.38,0.72,0,0,2.65,-4.9,2.22,2016-09-19,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,192.41,Sheltered,51.46,27,11,2015,2,Hard Coral,35.62,Population,4.25,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-27,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,192.41,Sheltered,51.46,27,11,2015,2,Nutrient Indicator Algae,0.62,Population,4.25,299.99,0.39,0.72,0,1.1,2.65,-1.51,2.22,2015-11-27,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1345.62,Sheltered,51.57,18,9,2016,5,Hard Coral,83.12,Population,4.25,297.07,0.53,0.73,0,0,2.55,-4.87,2.29,2016-09-18,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1345.62,Sheltered,51.57,18,9,2016,5,Nutrient Indicator Algae,0,Population,4.25,297.07,0.53,0.73,0,0,2.55,-4.87,2.29,2016-09-18,nd,nd,nd
Central Indo-Pacific,Southern Great Barrier Reef,Australia,1739.41,Exposed,51.57,30,10,2017,7,Hard Coral,64.38,Population,4.25,299.08,0.82,0.72,0,11.11,2.65,-2.66,2.22,2017-10-30,nd,nd,nd
